ID_LAB,Island_Site,Depth,Species,Zoox,Chl_A,Chl_C2,Relative_Index_Light,RatioChlA,RatioChlC2,Size_Ba,Distance_Ba,Size_Ap,Distance_Ap,Size_Ba_sd,Distance_Ba_sd,Size_Ap_sd,Distance_Ap_sd
1149,Bora_2,60,Pocillopora verrucosa,4582204.445,31.20525155,9.587365295,11.803795404123,6.810095866423087e-6,2.0923041322308347e-6,0.8180000000000001,0.639,0.8605,0.3472,0.12171095084484204,0.22083276729487208,0.11621651250049529,0.09059163562075939
1612,Tikehau_2,20,Pocillopora verrucosa,1953499.925,9.79190512,3.357336834,55.5655039501645,5.012493215222416e-6,1.7186265487059078e-6,0.5498000000000001,0.6158,0.8563999999999999,0.2112,0.05413727407659573,0.17605983831262217,0.17622157769253016,0.04752262619005814
1614,Tikehau_2,20,Pocillopora verrucosa,4157484.477,26.96643719,9.60172703,55.5655039501645,6.4862388156067675e-6,2.3095040001035703e-6,0.4983,0.5876,0.684,0.2195,0.050210777948785285,0.22162641238504643,0.09273977931107377,0.04020019347659356
1615,Tikehau_2,20,Pocillopora verrucosa,2918023.793,21.67638533,8.262180888,55.5655039501645,7.42844708189122e-6,2.8314302672308604e-6,0.6204000000000001,0.6019,0.883,0.2397,0.09081507461747626,0.216542759441794,0.09452924297685757,0.06296392265063824
1616,Tikehau_2,20,Pocillopora verrucosa,1767353.021,17.85215937,6.065584483,55.5655039501645,1.0101071578726772e-5,3.4320163605842507e-6,0.5604,0.73740000000000006,0.878,0.2813,0.09278314023092292,0.26415323835481047,0.142715723652924,0.0705156405030512
1617,Tikehau_2,20,Pocillopora verrucosa,1537662.53,13.67534667,4.534335601,55.5655039501645,8.893594272600243e-6,2.94884964193021e-6,0.5914,0.6275,0.8351,0.261,0.0713118347665924,0.1944852179472774,0.13620609384311702,0.0898443097808648
1618,Tikehau_2,20,Pocillopora verrucosa,987026.2007,7.987881498,2.779340045,55.5655039501645,8.092876858116822e-6,2.81587261111092e-6,0.6782,0.7368,0.8989,0.3372,0.07596607429928473,0.27046207374294334,0.12253929075108023,0.11936852367539963
1619,Tikehau_2,20,Pocillopora verrucosa,1790967.791,8.215180113,3.359247733,55.5655039501645,4.587006061350213e-6,1.8756606064502922e-6,0.8202,0.7576,0.9259,0.2451,0.15183894976805742,0.1721170144601244,0.1208841961915986,0.10478173080795675
1718,Tikehau_2,60,Pocillopora verrucosa,3536150.031,21.32250767,9.359743224,10.2257986409944,6.029865102745693e-6,2.646873900130625e-6,NA,NA,NA,NA,NA,NA,NA,NA
1769,Tikehau_2,6,Pocillopora verrucosa,3104014.105,25.78914682,10.41741211,100,8.308321401780486e-6,3.3561097848168445e-6,0.9526,0.3589,0.9515,0.193,0.06754126310798624,0.11338082338345895,0.2086359136017681,0.04674992572780791
1771,Tikehau_2,6,Pocillopora verrucosa,1665007.966,7.874478581,3.05922509,100,4.729393937926661e-6,1.837363635772539e-6,0.5478000000000001,0.5071,0.6222,0.1517,0.05051468433369977,0.1064084896362441,0.11560930373940981,0.02375827341276204
1772,Tikehau_2,6,Pocillopora verrucosa,1565493.358,8.682584528,3.356059393,100,5.546228914757235e-6,2.1437710839524364e-6,0.6839,0.4648,0.7177,0.17025,0.07614671511117352,0.20455414931015212,0.06274649171246327,0.09919996919802389
1773,Tikehau_2,6,Pocillopora verrucosa,2051849.716,9.887969005,4.139212216,100,4.81905128231136e-6,2.017307692528881e-6,0.5932,0.5192,0.7471,0.14611,0.05413522164194234,0.16687506970452143,0.08102050494919308,0.050063170095390484
1774,Tikehau_2,6,Pocillopora verrucosa,2579651.731,15.67361214,6.059742623,100,6.075863633702265e-6,2.349054544913683e-6,0.6808000000000001,0.3572,0.6729,0.1606,0.06290875226159802,0.09853121332856915,0.05622069607063457,0.03553151965352578
1775,Tikehau_2,6,Pocillopora verrucosa,1706953.17,12.61753291,4.584677521,100,7.391844797944867e-6,2.6858835974978738e-6,0.7115,0.1956,0.7624,0.19846,0.05914811915860045,0.0894814692175611,0.0792523396079468,0.10625328439368095
1778,Tikehau_2,6,Pocillopora verrucosa,2599613.663,9.646015952,3.804747456,100,3.7105574914036757e-6,1.4635818814743627e-6,0.6119,0.5551,0.7826,0.2888,0.06022264247495844,0.24525698540284002,0.08539346839451155,0.10621759636603427
1822,Tikehau_2,20,Pocillopora verrucosa,7141828.763,42.26911876,16.70043722,55.5655039501645,5.918528735803014e-6,2.3383978773785117e-6,0.6357,0.6071,0.6664,0.2139,0.07522861453226719,0.17371077494885953,0.17858219396121214,0.055486635027425
1823,Tikehau_2,6,Pocillopora verrucosa,4022251.541,16.87215312,6.598379298,100,4.194703625075943e-6,1.6404690832337976e-6,NA,NA,NA,NA,NA,NA,NA,NA
1823,Tikehau_2,20,NA,NA,NA,NA,NA,NA,NA,0.4666,0.4656,0.7626000000000001,0.2555,0.04452015773157644,0.08653990730036376,0.16443316778152353,0.0660593167791897
1824,Tikehau_2,20,Pocillopora verrucosa,4160565.104,31.70771158,11.97832984,55.5655039501645,7.621010797190978e-6,2.8790151194807507e-6,0.5723,0.7025,0.7569,0.1643,0.07870345185144888,0.23355715455631934,0.1820466667887355,0.03284323031886142
1825,Tikehau_2,6,Pocillopora verrucosa,5275239.264,29.4499174,10.90730516,100,5.5826695105520805e-6,2.0676417910435083e-6,NA,NA,NA,NA,NA,NA,NA,NA
1825,Tikehau_2,20,NA,NA,NA,NA,NA,NA,NA,0.5245,0.516,0.7585,0.2362,0.06936577766529481,0.19671807237770503,0.11136052562136488,0.040633319660921964
1853,Tikehau_2,40,Pocillopora verrucosa,2880233.934,14.40944416,4.121585067,23.5045034478894,5.0028728534520484e-6,1.4309896909227929e-6,0.5337,0.5013,0.6867,0.3118,0.0375027406405926,0.12117026587960156,0.07810114524697374,0.07979668609103459
1854,Tikehau_2,40,Pocillopora verrucosa,2415013.172,14.66304777,4.317341853,23.5045034478894,6.0716222751931236e-6,1.787709443184768e-6,0.5779,0.5393,1.008,0.214,0.06662240197144235,0.20539395750064743,0.14806980335864123,0.0586609845733185
1855,Tikehau_2,40,Pocillopora verrucosa,4279838.568,24.72263015,9.809327745,23.5045034478894,5.7765333334881055e-6,2.291985454391559e-6,0.9073,0.5065,0.8311999999999999,0.2075,0.13615518107414543,0.1945971622494931,0.07881032081311856,0.11292007989921207
1856,Tikehau_2,40,Pocillopora verrucosa,2274469.225,21.53047398,8.349064639,23.5045034478894,9.466153132935882e-6,3.670774942668217e-6,0.6351,0.4582,0.8693,0.19164,0.09363813325777055,0.1211296825720269,0.11156467979507573,0.14838585736742793
1858,Tikehau_2,40,Pocillopora verrucosa,3693650.444,16.33668379,4.881355318,23.5045034478894,4.422910082500487e-6,1.3215531334128594e-6,0.7056,0.5914,0.789,0.2898,0.08911565519031996,0.19239380909420598,0.12037903102746388,0.09233971097107802
1859,Tikehau_2,40,Pocillopora verrucosa,1889192.244,22.57347019,9.003189607,23.5045034478894,1.194874172371417e-5,4.7656291389051455e-6,0.8274,0.5504,0.7766,0.3048,0.09044482664401911,0.22255096794517282,0.07477551589777084,0.2638904654923663
1860,Tikehau_2,40,Pocillopora verrucosa,2800899.061,18.56957253,7.096036173,23.5045034478894,6.6298613857830835e-6,2.5334851483246646e-6,0.7013,0.5734,0.9929,0.43069999999999997,0.1097776034636493,0.199694321957892,0.16286357617479866,0.08317858965970618
1861,Tikehau_2,40,Pocillopora verrucosa,3404410.622,14.26644308,5.408419736,23.5045034478894,4.190576479760496e-6,1.5886508228618728e-6,NA,NA,NA,NA,NA,NA,NA,NA
1862,Tikehau_2,40,Pocillopora verrucosa,2954264.535,38.17323807,14.73431889,23.5045034478894,1.2921401458045122e-5,4.987474451065027e-6,0.66935,0.509,0.7681,0.33645,0.18158027802716087,0.1376073743433985,0.1398754709319009,0.09998709127208688
1863,Tikehau_2,40,Pocillopora verrucosa,4199386.126,29.57417376,11.52929644,23.5045034478894,7.042499277905172e-6,2.7454718604268684e-6,0.9749,0.823,0.8263,0.29109999999999997,0.15146136287662423,0.2624042682579687,0.0828841896195462,0.05767427695448138
2483,Rangiroa_3,20,Pocillopora verrucosa,3377088.115,14.59544736,5.122305851,58.0332194781337,4.321903030948897e-6,1.516781818113739e-6,0.6192,0.4894,0.6802,0.321,0.080875487290306,0.11555104692059023,0.07839047561194323,0.09777411609305287
2484,Rangiroa_3,20,Pocillopora verrucosa,2253101.5,19.32300261,6.088890613,58.0332194781337,8.57617937318847e-6,2.70244843075201e-6,0.8009000000000001,0.7794,0.7856,0.3085,0.20151616973996572,0.1626299138808383,0.1424173834583093,0.0978005339680947
2485,Rangiroa_3,20,Pocillopora verrucosa,2150344.275,12.04354175,3.615093405,58.0332194781337,5.600750489128072e-6,1.6811695908553992e-6,0.6085,0.48,0.8797,0.3113,0.12254364301931148,0.2035490658839343,0.1804476224405421,0.06651491060907572
2486,Rangiroa_3,20,Pocillopora verrucosa,2602512.644,10.88824525,3.481015494,58.0332194781337,4.183743458500562e-6,1.3375594935245972e-6,0.532,0.6682,0.7725,0.2577,0.05633629183552799,0.25152327040565364,0.1325395119284141,0.08265732474096495
2487,Rangiroa_3,20,Pocillopora verrucosa,2593700.736,15.90126118,5.123921746,58.0332194781337,6.130723162967094e-6,1.9755254239169093e-6,0.6682,0.43,0.8393,0.2757,0.07837204717102764,0.12843675486401857,0.11030266441830759,0.08926247189546618
2488,Rangiroa_3,20,Pocillopora verrucosa,4096116.601,27.36878073,9.737274381,58.0332194781337,6.681641026361008e-6,2.3771965814212427e-6,0.6557999999999999,0.5177,0.6867,0.2822,0.1064840102759304,0.0995211312011452,0.06981730126233437,0.11913185971854882
2490,Rangiroa_3,20,Pocillopora verrucosa,3047877.733,15.69344797,4.741502871,58.0332194781337,5.148975564237307e-6,1.5556735821987778e-6,0.61240000000000006,0.5501,0.6843,0.2871,0.08323220530539845,0.12959633911153165,0.14907794381910874,0.06454533290641547
2491,Rangiroa_3,20,Pocillopora verrucosa,1276039.442,7.92063649,3.0453728349999998,58.0332194781337,6.2072034995921384e-6,2.386582055980053e-6,0.7113,0.4996,0.7182,0.3123,0.08104326690793696,0.14819221751945455,0.11484946669445184,0.09914641249743288
2492,Rangiroa_3,20,Pocillopora verrucosa,2800266.878,11.32798975,3.443736899,58.0332194781337,4.045325050621836e-6,1.2297888197926255e-6,0.7066,0.6225,0.7538,0.2259,0.06187837532881203,0.1398421729426904,0.09483646743503027,0.047200400186627425
2583,Rangiroa_3,40,Pocillopora verrucosa,2586542.488,9.199658771,3.172497977,22.646012618777,3.5567398616805552e-6,1.2265400594494314e-6,0.732,0.5361,0.7544,0.2382,0.07113836283375284,0.1883138337987945,0.2174111312697673,0.08178263874441813
2584,Rangiroa_3,40,Pocillopora verrucosa,1932312.385,12.0506376,3.536843969,22.646012618777,6.23638170181267e-6,1.8303686280000735e-6,0.9571,0.5213,0.8712,0.1861,0.10741658262215484,0.13209849019239817,0.07875531728080333,0.06369624094961264
2585,Rangiroa_3,40,Pocillopora verrucosa,3458649.807,23.29874393,7.966287756,22.646012618777,6.736369748346714e-6,2.3032941178019646e-6,0.821,0.467,0.8567,0.3312,0.05481078563770294,0.1224472675617277,0.07643886446043006,0.20761813237019758
2586,Rangiroa_3,40,Pocillopora verrucosa,1929489.086,9.904319153,3.854162839,22.646012618777,5.133130435856739e-6,1.9975043481536438e-6,0.7479,0.6826,0.844,0.32121,0.0839807517629288,0.12476573603713836,0.14876678243329577,0.17963041347289843
2587,Rangiroa_3,40,Pocillopora verrucosa,4420517.47,20.78734295,7.224219586,22.646012618777,4.7024682270964986e-6,1.6342474913915454e-6,0.66,0.7496,0.9198,0.37070000000000003,0.11489898945498946,0.2495699412099854,0.04459646224135323,0.11936317131622581
2588,Rangiroa_3,40,Pocillopora verrucosa,1576711.273,9.146007522,3.316470554,22.646012618777,5.800686326417861e-6,2.103410187262611e-6,0.7716,0.6113,0.8193,0.1744,0.09164084484794127,0.16361204112167296,0.0756057757934758,0.04849100718460876
2589,Rangiroa_3,40,Pocillopora verrucosa,2732542.05,13.85679694,4.655598456,22.646012618777,5.071027887750163e-6,1.7037609562129154e-6,0.4681,0.6900000000000001,0.6834,0.2973,0.05369140216707576,0.16026089839869098,0.13491165833817162,0.06023481828090239
2590,Rangiroa_3,40,Pocillopora verrucosa,2179023.892,8.74797606,1.650286689,22.646012618777,4.014630629850845e-6,7.573513512443856e-7,0.5606,0.5436,0.6294,0.4274,0.06193580906425978,0.1327187502452712,0.09332285655484165,0.16715275781285946
2591,Rangiroa_3,40,Pocillopora verrucosa,4709851.533,16.29571408,5.18649211,22.646012618777,3.45992096902049e-6,1.1012007647503058e-6,0.6718999999999999,0.5569999999999999,0.7004,0.3502,0.15481347199488524,0.16364935414205312,0.08883592866752857,0.12879768803998168
2592,Rangiroa_3,40,Pocillopora verrucosa,4482979.435,21.10097056,6.725408231,22.646012618777,4.706907730885008e-6,1.5002094764237974e-6,0.7648,0.696,0.777,0.3685,0.10390786517123929,0.24264010843680034,0.11015645439303337,0.10640723659601352
2594,Rangiroa_3,6,Pocillopora verrucosa,2198598.695,6.456653513,2.631295804,100,2.9367130653190896e-6,1.196805860925884e-6,0.7617,0.2819,0.6888,0.18555,0.09253473822180391,0.11317484015647844,0.09345087836219981,0.047207844216354086
2595,Rangiroa_3,6,Pocillopora verrucosa,3404819.154,12.11900283,4.45585257,100,3.559367555766517e-6,1.3086899387197232e-6,0.8232,0.4164,0.6686,0.203,0.12952717432604208,0.19973326657764795,0.09378367543329583,0.07863417408056966
2596,Rangiroa_3,6,Pocillopora verrucosa,2701882.223,10.29338048,3.625354814,100,3.809707318985532e-6,1.3417886180007632e-6,0.6768,0.4232,0.7545000000000001,0.3015,0.11520976038899172,0.15783521646183893,0.13571477443521024,0.11836408051244074
2597,Rangiroa_3,6,Pocillopora verrucosa,3387354.818,11.99863116,5.199403528,100,3.542183150179811e-6,1.5349450551713653e-6,0.6407,0.6505,0.7445,0.17521,0.05066896924592451,0.21903538526913865,0.0983093191016102,0.0797679753340204
2598,Rangiroa_3,6,Pocillopora verrucosa,3316602.031,11.02166793,3.678844235,100,3.3231807214074517e-6,1.1092208834868196e-6,0.7827,0.3787,0.7681,0.2351,0.059228465378659854,0.09444463398673791,0.06979406214794429,0.05680854787011469
2599,Rangiroa_3,6,Pocillopora verrucosa,1704662.77,7.957659497,3.066937319,100,4.668172284304654e-6,1.799146067465297e-6,0.6782,0.35559999999999997,0.7272,0.242,0.12286288653978827,0.0816131797635107,0.08767084907640493,0.13874837336383844
2600,Rangiroa_3,6,Pocillopora verrucosa,2845135.28,8.721242744,3.415873492,100,3.065317422797555e-6,1.2006014322102813e-6,0.5385,0.5492,0.6894,0.3401,0.047174027694154845,0.12451577320876972,0.107039141335204,0.06683719855822139
2601,Rangiroa_3,6,Pocillopora verrucosa,5331522.486,18.90361449,8.342897336,100,3.545631578904308e-6,1.5648245614470433e-6,0.5301,0.3275,0.761,0.3489,0.11030206001904247,0.11745377341272986,0.11870130580579137,0.10843579769717296
2602,Rangiroa_3,6,Pocillopora verrucosa,3525855.722,12.28280136,3.468233166,100,3.483636974525074e-6,9.836571429623575e-7,0.5457,0.43720000000000003,0.6103000000000001,0.2844,0.08334539912649981,0.07059713560446737,0.11212795270483528,0.06840435333774858
2603,Rangiroa_3,6,Pocillopora verrucosa,2494198.375,4.073578553,3.309457731,100,1.6332215568058014e-6,1.3268622753392661e-6,0.6369,0.2629,0.6013000000000001,0.2695,0.07837863938032551,0.06773059377661865,0.1190686543320468,0.06448987862017143
