ID_LAB,Depth,Island_Site,Septa.Distance,Width.Valley,Height.Septa,septa_sd,height_sd,valley_sd
86,47,Moorea_2,0.028390000000000002,0.17093,2.6485714285714286,0.006564119641404069,NA,0.06613172125051302
93,90,Moorea_2,0.02702,0.08913,1.1104444444444446,0.009099548218333576,NA,0.036585305186038225
94,77,Moorea_2,0.02317,0.18262,1.3513333333333333,0.0033230006520212022,NA,0.22595692214815344
95,77,Moorea_2,NA,NA,NA,NA,NA,NA
96,90,Moorea_2,0.01491,0.09352,1.0793333333333333,0.00421543460261085,NA,0.0581825632528051
109,60,Moorea_2,0.05147,0.10715000000000001,1.782,0.014286983197613443,0.23766456287053914,0.06261354574779415
117,40,Moorea_2,0.04435,0.1639,2.002222222222222,0.009232821887158876,NA,0.027196609265780824
123,60,Moorea_2,0.03745,0.10322222222222223,1.96,0.00991578427446754,0.3748777578535879,NA
126,40,Moorea_2,0.02408,0.12338,3.151,0.0046891837716647915,0.44398323291663966,0.051736292870672516
136,60,Moorea_2,0.08126,0.09998,2.515,0.12586523833935334,NA,0.01714732243432387
137,60,Moorea_2,0.03074,0.06538000000000001,2.478,0.0059200600597554,0.4782096239563194,0.03960103253423802
138,60,Moorea_2,0.34959,0.06394,3.5585714285714287,0.9451991412160484,NA,0.02229086509462266
145,60,Moorea_2,0.0319,0.10408,3.1155555555555554,0.011167910378500637,NA,0.043296286728129976
152,60,Moorea_2,0.04796,0.07699,2.131,0.009503005372570886,0.3609693738932555,0.05407460792481275
182,40,Moorea_2,0.03887,0.1634,3.1122222222222224,0.007488071996330045,NA,0.03768937368660945
183,40,Moorea_2,0.03043,0.14104,2.503,0.008571924456555184,0.341436507844268,0.04443790174064377
201,72,Moorea_2,0.04296,0.14908,3.32625,0.016657810980638083,NA,0.05498625686882536
202,72,Moorea_2,0.0298,0.12890000000000001,1.6966666666666665,0.005974203805622227,NA,0.05092358109079831
203,72,Moorea_2,0.04105,0.126,2.638571428571429,0.01367505839922529,NA,0.05452499936318712
215,40,Moorea_2,0.03207,0.2075,2.0028571428571427,0.012197454197040008,NA,0.036866877636527164
216,40,Moorea_2,0.03271,0.15610000000000002,2.42125,0.011773647598674669,NA,0.042019704372538796
217,40,Moorea_2,0.03505,0.15075,3.3333333333333335,0.007768204425734431,NA,0.056481683363330766
219,40,Moorea_2,0.05345,0.1509,2.58,0.015592751164848649,NA,0.04650794436318261
234,18,Moorea_2,0.05376,0.21660000000000001,3.974,0.011538168543288546,0.5755615615302252,0.04433258144725816
852,40,Bora_2,0.03242,0.1738,2.601,0.006057648975560661,0.3123548551816596,0.04145894890665276
853,40,Bora_2,0.06223,0.14474,2.242,0.01676372074848938,0.35019994288977263,0.04639550265560949
854,40,Bora_2,0.04859,0.1591,2.417,0.013848581957089406,0.20347262988203385,0.05941277453357803
855,40,Bora_2,0.06305,0.1489,3.0255555555555556,0.01580395520115139,NA,0.03076596243325478
856,40,Bora_2,0.0474,0.1587,4.126,0.013246886426628711,0.6417718528504589,0.04259120931731231
857,40,Bora_2,0.06428,0.2109,3.92,0.007849529356025817,0.7842193570679059,0.03761042999547392
909,90,Bora_2,0.02676,0.13092,1.240625,0.009180196076337369,NA,0.055669656606329686
910,90,Bora_2,0.03236,0.19821,1.5373333333333332,0.0068375109181306295,NA,0.2041492833416
911,90,Bora_2,0.03753,0.17333,1.303,0.009581585347831422,0.2815058712630263,0.069658692526090707
912,90,Bora_2,0.02278,0.11297,1.3047777777777778,0.003891814772342361,NA,0.055112814601808655
913,90,Bora_2,0.03173,0.0941,1.5273,0.007816656005678586,0.47837178707221717,0.03997813291176954
914,90,Bora_2,0.03124,0.09547,1.985,0.008919043296976046,0.1746265857320827,0.05904275381262105
915,90,Bora_2,0.02488,0.08746,1.6266666666666667,0.009545423568973307,NA,0.030379239987567537
916,90,Bora_2,0.02997,0.09577000000000001,1.6845714285714286,0.005670596676423625,NA,0.032233662528481
917,90,Bora_2,0.03722,0.1122,2.043,0.010557966976017052,0.36484547718482435,0.03461993645285907
918,90,Bora_2,0.02983,0.12082,0.9467,0.006629571797802797,0.25263546421232663,0.047886574318904876
1027,60,Bora_2,0.04681111111111111,0.12645,3.0044444444444443,NA,NA,0.06761205102971249
1028,60,Bora_2,0.04217,0.12738888888888888,2.26625,0.010064022831629289,NA,NA
1029,60,Bora_2,0.05064,0.16921,2.0614285714285714,0.017273434966895138,NA,0.054883076727813944
1030,60,Bora_2,0.05982,0.13013,2.4785714285714286,0.008403147558438379,NA,0.059296187810759717
1031,60,Bora_2,0.0538,0.13343,3.086666666666667,0.010668749796589208,NA,0.05291714802930667
1032,60,Bora_2,0.04416,0.11017,3.3566666666666665,0.0071915382375554535,NA,0.0310824727316073
1033,60,Bora_2,0.04374,0.15413,3.082,0.013220371485787462,0.5201452788511217,0.06142305122852676
1737,40,Tikehau_2,0.03715,0.15453,1.94,0.00886180944653329,NA,0.07097899611074313
1738,40,Tikehau_2,0.0426,0.1737,2.5428571428571427,0.008803155999728479,NA,0.04945267097606223
1739,40,Tikehau_2,0.06791,0.34981999999999996,1.409,0.017483608196123462,0.35120269550977734,0.6216006234803108
1740,40,Tikehau_2,0.041999999999999996,0.14371,1.93125,0.011072889816524357,NA,0.04317737190293597
1742,40,Tikehau_2,0.06738,0.11855,2.787777777777778,0.022411941261548742,NA,0.0735463610399741
1743,40,Tikehau_2,0.04572,0.1804,2.05375,0.007774716858009828,NA,0.06259960951244911
1761,40,Tikehau_2,0.04447,0.14418999999999998,1.9200000000000002,0.011157961781217531,NA,0.0370411917854824
1827,20,Tikehau_2,0.03851,0.1785,1.63,0.008558225413146246,0.27820855486487106,0.05553427370152198
1828,20,Tikehau_2,0.060110000000000004,0.18502,2.148,0.012772753118346187,0.32591068987957084,0.08416267053219681
1830,20,Tikehau_2,0.038489999999999996,0.17883,2.832,0.006170980473150114,0.5019694545819829,0.057282924545142104
1831,20,Tikehau_2,0.03981,0.18248,4.1370000000000005,0.009180347366945205,0.4051625188324639,0.08085208442307196
1832,20,Tikehau_2,0.05208,0.10237,2.775,0.011831389511709003,0.3445850967306754,0.02691203985001674
1833,20,Tikehau_2,0.04034,0.14943,2.49,0.007875164901271735,0.34192266832006196,0.029619514963393084
1834,20,Tikehau_2,0.06583,0.2136,1.55125,0.011812427542399761,NA,0.08696257177020979
1836,90,Tikehau_2,0.02874,0.09098,1.1075,0.005945717413025576,0.2244911530055868,0.0457718933650578
1837,90,Tikehau_2,0.03058,0.07638,0.6697777777777778,0.009909905257984165,NA,0.026865789894709346
1838,90,Tikehau_2,0.02951,0.09485,1.1336,0.004271988868067062,0.209428959050292,0.04847517692363564
1839,90,Tikehau_2,0.03084,0.07921,2.1133333333333333,0.006452079768054123,NA,0.03448298936512836
1840,90,Tikehau_2,0.04578,0.10193,0.875375,0.014341300111527159,NA,0.03087883309539616
1841,90,Tikehau_2,0.03037,0.11707000000000001,0.719125,0.007758156997638034,NA,0.04137165025043653
1842,90,Tikehau_2,0.0313,0.077875,NA,0.006345251943163662,NA,NA
1843,90,Tikehau_2,0.03204,0.10757,1.68875,0.005394688746041488,NA,0.028314387783520155
1844,90,Tikehau_2,0.04142,0.05914,NA,0.010674559579777622,NA,NA
1845,60,Tikehau_2,0.10034,0.09845,2.3685714285714288,0.14070182183137028,NA,0.02744093657293788
1846,60,Tikehau_2,0.04757,0.08641,1.486,0.011798215495950603,0.26500314463543007,0.05175352806009138
1847,60,Tikehau_2,0.05536,0.1693,2.741,0.01134599292946878,0.2848956924131279,0.0341436507844268
1848,60,Tikehau_2,0.05804,0.15621000000000002,2.079,0.006876885600004961,0.33524286387301044,0.04837631307434111
1849,60,Tikehau_2,0.05038,0.12407,1.9744444444444444,0.008032821560461941,NA,0.04305474680244006
1850,60,Tikehau_2,0.05829,0.1794,1.949,0.00850103915216644,0.1612761606685874,0.051976917954030324
1851,60,Tikehau_2,0.053470000000000004,0.1076,2.09,0.014740801274768692,NA,0.05196513788642878
1864,10,Tikehau_2,0.16195,0.3188,3.408,0.04579449869920088,0.42475613918786126,0.07382983437909396
1865,10,Tikehau_2,0.12137,0.2063,2.87,0.03061503080369365,0.2372527953236566,0.030239966196336194
1866,10,Tikehau_2,0.0516,0.23600000000000002,2.608,0.010258654882585727,0.10042133460796289,0.0671201244867075
1867,10,Tikehau_2,0.06837,0.17155,2.351,0.0187562167471659,0.16934186330221673,0.05621607619019867
1868,10,Tikehau_2,0.06385,0.1701,3.8840000000000003,0.02183912137019762,0.37880513900069174,0.02413595750005465
1869,10,Tikehau_2,0.0888,0.2597,2.6422222222222222,0.019260494974601944,NA,0.07334098444935137
1870,10,Tikehau_2,0.06049,0.17557999999999999,2.522222222222222,0.016397997845265543,NA,0.0562670971547513
2463,60,Rangiroa_3,0.0685,0.18080000000000002,1.8557142857142856,0.016050268256671326,NA,0.057043453222570206
2464,60,Rangiroa_3,0.07528,0.2047,3.285,0.019068694530856356,0.25936889216369463,0.04487030693503717
2465,60,Rangiroa_3,0.13934,0.1822,1.9985714285714287,0.15305200423385507,NA,0.07737757355260559
2466,60,Rangiroa_3,0.06762,0.161,2.0909999999999997,0.017990417202252734,0.20052431274037572,0.03441253001774531
2467,60,Rangiroa_3,0.06953,0.15619,1.716,0.02124785217903735,0.27455823102253224,0.034430040178115774
2468,60,Rangiroa_3,0.06771,0.1303,2.211,0.01408501567860919,0.44943050383544036,0.03624929118080947
2469,60,Rangiroa_3,0.06303,0.12969,1.92,0.015118719081544796,0.24770053604212397,0.029446842879255416
2470,60,Rangiroa_3,0.18696000000000002,0.1447,2.3644444444444446,0.2629273968227731,NA,0.017882642111525043
2473,40,Rangiroa_3,0.03909,0.15312,2.56,0.007775524276714578,0.2964980794391612,0.034598805374367096
2474,40,Rangiroa_3,0.11183,0.2845,1.8143,0.013890048396043998,0.5383002156995873,0.06671373338542988
2475,40,Rangiroa_3,0.07531,0.16492,3.201,0.028334252926253217,0.2387211297262514,0.06877001607612951
2476,40,Rangiroa_3,0.03105,0.1745,2.67,0.00916978734758882,0.2539903760206497,0.061079638360277015
2477,40,Rangiroa_3,0.04442,0.1728,1.952,0.020679877498025304,0.2963781368454833,0.04555289965157725
2478,40,Rangiroa_3,0.04059,0.189,2.911111111111111,0.012534171071293248,NA,0.08012490249604053
2479,40,Rangiroa_3,0.10096000000000001,0.2089,2.878,0.02634072470107415,0.4420356948884961,0.07984770225595446
2480,40,Rangiroa_3,0.1144,0.2233,2.211,0.17111607496407552,0.6380952558635392,0.0434461352327991
2563,90,Rangiroa_3,0.02926,0.1794,1.77,0.005485171930861522,NA,0.027601127191153298
2564,90,Rangiroa_3,0.04241,0.1763,1.006,0.008126561388434839,NA,0.019471061147821968
2565,90,Rangiroa_3,0.05497,0.1975,1.2650000000000001,0.0063315874786659945,NA,0.04633513185957761
2566,90,Rangiroa_3,0.07263,0.221,1.52,0.013939396607377873,NA,0.0418568990729127
2567,90,Rangiroa_3,0.09046,0.2121,1.3466666666666667,0.005293853878686953,NA,0.04772944583797302
2568,90,Rangiroa_3,0.10614000000000001,0.2696,1.3814285714285715,0.0189333450704189,NA,0.0325685601633095
2569,90,Rangiroa_3,0.06131,0.2551,1.5116666666666667,0.009156715811056083,NA,0.029830819260921716
2570,90,Rangiroa_3,0.03186,0.24842,1.3439,0.010429147190020433,0.2711229528379247,0.2419861052025738
2571,90,Rangiroa_3,0.04736,0.13741,1.6555555555555554,0.016636252248895752,NA,0.05294186434193643
2572,90,Rangiroa_3,0.03028,0.12298999999999999,1.767777777777778,0.008126745966252421,NA,0.05367094082358617
2573,25,Rangiroa_3,0.09046,0.2029,2.201111111111111,0.02202625705833835,NA,0.02028381949568013
2574,25,Rangiroa_3,0.11385,0.21610000000000001,1.8466666666666667,0.027259585470069063,NA,0.031638408444308465
2575,25,Rangiroa_3,0.06871000000000001,0.217,2.422,0.005215031692670289,0.42876567026757173,0.02746715209927022
2576,25,Rangiroa_3,0.1873,0.2862,3.908,0.04439481951759687,0.1805423926825928,0.04095471754131493
2577,25,Rangiroa_3,0.06815,0.2833,2.181111111111111,0.015244106329259773,NA,0.05126846550810308
2578,25,Rangiroa_3,0.08211,0.24760000000000001,2.3455555555555554,0.013967537761220162,NA,0.04990702466698563
