Island_Site,Depth,ID_LAB,Species,Zoox,Chl_A,Chl_C2,IndexLoss,RatioChlA,RatioChlC2
Bora_2,20,922,Pocillopora verrucosa,3988435.878,25.16408004,8.754390402,52.1731003202798,6.309260273884238e-6,2.1949432483768264e-6
Bora_2,20,925,Pocillopora verrucosa,478860.0717,6.53798451,2.447351411,52.1731003202798,1.3653225433453905e-5,5.11078612654353e-6
Bora_2,20,921,Pocillopora verrucosa,4080063.179,18.36798004,5.865419216,52.1731003202798,4.5018861802286806e-6,1.4375804880152813e-6
Bora_2,20,919,Pocillopora verrucosa,347182.6549,2.625479599,1.272544484,52.1731003202798,7.5622429921109515e-6,3.6653457943241275e-6
Bora_2,20,924,Pocillopora verrucosa,1025774.929,5.171470608,1.980968653,52.1731003202798,5.0415256425125595e-6,1.9311923083665072e-6
Bora_2,20,926,Pocillopora verrucosa,1197508.736,7.034166317,2.690105904,52.1731003202798,5.8740000014496766e-6,2.246418604832625e-6
Bora_2,20,923,Pocillopora verrucosa,808720.6963,4.536874611,1.710996257,52.1731003202798,5.609940034621073e-6,2.115682540125442e-6
Bora_2,20,920,Pocillopora verrucosa,772465.3035,7.341063028,3.076891928,52.1731003202798,9.50342105300785e-6,3.983210526167018e-6
Bora_2,40,1084,Pocillopora verrucosa,3078637.925,23.12701322,8.988000465,23.9701828750539,7.512092614788405e-6,2.91947305398052e-6
Bora_2,40,1083,Pocillopora verrucosa,3001403.291,26.28615822,10.23970968,23.9701828750539,8.757956086348544e-6,3.4116407184281986e-6
Bora_2,40,1088,Pocillopora verrucosa,2754007.023,16.92753297,6.298310353,23.9701828750539,6.14651045862638e-6,2.286962342651949e-6
Bora_2,40,1085,Pocillopora verrucosa,2443067.744,26.79635699,9.291761976,23.9701828750539,1.0968323353214392e-5,3.8033173655621727e-6
Bora_2,40,1082,Pocillopora verrucosa,4485631.552,37.53244828,13.48276373,23.9701828750539,8.367260628721383e-6,3.005767097386424e-6
Bora_2,40,1087,Pocillopora verrucosa,6956518.428,41.78154329,16.45149287,23.9701828750539,6.006099706690808e-6,2.3649032256973124e-6
Bora_2,40,1086,Pocillopora verrucosa,1923831.427,15.2440548,5.77500303,23.9701828750539,7.923799656278304e-6,3.0018238339132817e-6
Bora_2,40,1081,Pocillopora verrucosa,2958112.639,18.88698835,6.593906409,23.9701828750539,6.384810402752212e-6,2.2290924023870476e-6
Bora_2,40,1080,Pocillopora verrucosa,3456763.16,31.23723304,10.28118462,23.9701828750539,9.036555758711568e-6,2.9742230358645683e-6
Bora_2,6,1021,Pocillopora verrucosa,1312277.452,6.801392221,4.690259378,100,5.182891933892651e-6,3.574136986695707e-6
Bora_2,6,1020,Pocillopora verrucosa,1740643.244,5.720194563,1.783209193,100,3.2862532760331674e-6,1.0244541488594661e-6
Bora_2,6,1022,Pocillopora verrucosa,1352387.861,4.980400025,1.062530808,100,3.682671346456281e-6,7.856701754290591e-7
Bora_2,6,1025,Pocillopora verrucosa,1660921.231,6.985084884,2.163892645,100,4.205548555601551e-6,1.302826771440072e-6
Bora_2,6,1023,Pocillopora verrucosa,1459968.117,9.552222371,3.452013502,100,6.542760940991151e-6,2.3644444435494475e-6
Bora_2,6,1019,Pocillopora verrucosa,3533552.932,20.59097396,9.689740822,100,5.827271971371165e-6,2.742209048079996e-6
Bora_2,60,1146,Pocillopora verrucosa,3666809.122,40.47401259,10.87915322,11.803795404123,1.103793823004458e-5,2.9669265178619787e-6
Bora_2,60,1144,Pocillopora verrucosa,2808802.553,21.62048382,6.987546404,11.803795404123,7.697402509445812e-6,2.4877314343568954e-6
Bora_2,60,1149,Pocillopora verrucosa,4582204.445,31.20525155,9.587365295,11.803795404123,6.810095866423087e-6,2.0923041322308347e-6
Bora_2,60,1147,Pocillopora verrucosa,2133950.185,24.64738047,9.410237081,11.803795404123,1.1550119887170656e-5,4.409773549142151e-6
Bora_2,60,1145,Pocillopora verrucosa,1928469.212,10.01306729,3.76085632,11.803795404123,5.192236011699418e-6,1.9501770091002103e-6
Bora_2,60,1148,Pocillopora verrucosa,1737219.437,13.35018624,5.231335245,11.803795404123,7.684801330023341e-6,3.011326683078092e-6
Bora_2,60,1143,Pocillopora verrucosa,3325697.248,13.25473799,3.89049769,11.803795404123,3.98555160063686e-6,1.1698291816369208e-6
Moorea_2,20,112,Pocillopora verrucosa,1811732.152,7.191712162,2.973797387,49.5869513999609,3.969522842579657e-6,1.6414111676039847e-6
Moorea_2,20,116,Pocillopora verrucosa,1911724.987,15.16360994,6.003483341,49.5869513999609,7.931899223536174e-6,3.140348837737925e-6
Moorea_2,20,110,Pocillopora verrucosa,2061367.111,9.296978185,3.52201572,49.5869513999609,4.510103093907372e-6,1.7085824748079045e-6
Moorea_2,20,113,Pocillopora verrucosa,1084677.915,5.622492886,1.940434347,49.5869513999609,5.1835598459658875e-6,1.7889498072798873e-6
Moorea_2,20,100,Pocillopora verrucosa,1941154.119,10.8463432,3.851712346,49.5869513999609,5.587574471205601e-6,1.9842382983913913e-6
Moorea_2,20,118,Pocillopora verrucosa,1009029.722,8.733302179,0.938032932,49.5869513999609,8.655148593333509e-6,9.296385542942412e-7
Moorea_2,20,102,Pocillopora verrucosa,2928682.011,17.63141835,6.23595428,49.5869513999609,6.020256990611194e-6,2.1292698410336224e-6
Moorea_2,20,124,Pocillopora verrucosa,2961006.505,20.09602215,7.443674254,49.5869513999609,6.786888889323801e-6,2.51390000036491e-6
Moorea_2,20,111,Pocillopora verrucosa,3232857.444,11.96628987,4.934594016,49.5869513999609,3.701459181940965e-6,1.5263877549436417e-6
Moorea_2,40,232,Pocillopora verrucosa,2616923.818,13.16226858,4.613808524,23.9135106993185,5.029672048328615e-6,1.7630656621583014e-6
Moorea_2,40,233,Pocillopora verrucosa,4000161.21,20.20967662,7.532514092,23.9135106993185,5.052215538083276e-6,1.8830526312713284e-6
Moorea_2,40,128,Pocillopora verrucosa,2934434.547,14.31556445,4.04299255,23.9135106993185,4.878474616050109e-6,1.3777756788384758e-6
Moorea_2,40,140,Pocillopora verrucosa,4453281.017,21.12732465,6.425883572,23.9135106993185,4.744215460319781e-6,1.4429548792159685e-6
Moorea_2,40,172,Pocillopora verrucosa,2373930.454,15.8593316,5.18785774,23.9135106993185,6.680621824147171e-6,2.1853452915011133e-6
Moorea_2,40,143,Pocillopora verrucosa,2710037.911,16.78150047,NA,23.9135106993185,6.192348971165371e-6,NA
Moorea_2,6,235,Pocillopora verrucosa,2504696.119,9.504391627,3.166662152,100,3.7946286397387917e-6,1.2642899583620108e-6
Moorea_2,6,240,Pocillopora verrucosa,3381881.206,12.30161224,3.892046526,100,3.6375057226063906e-6,1.1508525252439043e-6
Moorea_2,6,237,Pocillopora verrucosa,1557521.933,10.21264588,3.00776786,100,6.556983669776675e-6,1.9311239195242847e-6
Moorea_2,6,239,Pocillopora verrucosa,3295311.21,11.45397037,3.624881213,100,3.475838741798229e-6,1.1000117991890666e-6
Moorea_2,6,238,Pocillopora verrucosa,2786234.033,8.235546374,2.323307072,100,2.955798499500993e-6,8.33852090126989e-7
Moorea_2,60,167,Pocillopora verrucosa,1354433.689,6.362556777,1.637926673,12.2173416036179,4.697577170941146e-6,1.2093073926781216e-6
Moorea_2,60,108,Pocillopora verrucosa,4370749.569,22.89179268,8.400384233,12.2173416036179,5.237498126720057e-6,1.9219550560802216e-6
Moorea_2,60,146,Pocillopora verrucosa,3151951.595,17.34490976,6.169511681,12.2173416036179,5.502911208254136e-6,1.9573624451551897e-6
Moorea_2,60,163,Pocillopora verrucosa,4206892.088,20.40139303,7.6254561,12.2173416036179,4.849516603526437e-6,1.8126103404818305e-6
Moorea_2,60,170,Pocillopora verrucosa,3588722.733,21.47619342,5.811775778,12.2173416036179,5.984355721470556e-6,1.6194552241548164e-6
Moorea_2,60,166,Pocillopora verrucosa,1431741.944,8.151199671,2.509917628,12.2173416036179,5.693204494817818e-6,1.7530516854090294e-6
Moorea_2,60,165,Pocillopora verrucosa,3507369.495,17.75576579,6.103918974,12.2173416036179,5.062416667337754e-6,1.740312499923821e-6
Moorea_2,60,168,Pocillopora verrucosa,1648756.692,9.897168022,3.251335587,12.2173416036179,6.0028068847407595e-6,1.971992352040746e-6
Moorea_2,60,169,Pocillopora verrucosa,3539241.967,23.32621914,7.170389439,12.2173416036179,6.590738739395152e-6,2.025967567591289e-6
Rangiroa_3,20,2484,Pocillopora verrucosa,2253101.5,19.32300261,6.088890613,58.0332194781337,8.57617937318847e-6,2.70244843075201e-6
Rangiroa_3,20,2485,Pocillopora verrucosa,2150344.275,12.04354175,3.615093405,58.0332194781337,5.600750489128072e-6,1.6811695908553992e-6
Rangiroa_3,20,2486,Pocillopora verrucosa,2602512.644,10.88824525,3.481015494,58.0332194781337,4.183743458500562e-6,1.3375594935245972e-6
Rangiroa_3,20,2487,Pocillopora verrucosa,2593700.736,15.90126118,5.123921746,58.0332194781337,6.130723162967094e-6,1.9755254239169093e-6
Rangiroa_3,20,2488,Pocillopora verrucosa,4096116.601,27.36878073,9.737274381,58.0332194781337,6.681641026361008e-6,2.3771965814212427e-6
Rangiroa_3,20,2490,Pocillopora verrucosa,3047877.733,15.69344797,4.741502871,58.0332194781337,5.148975564237307e-6,1.5556735821987778e-6
Rangiroa_3,20,2491,Pocillopora verrucosa,1276039.442,7.92063649,3.0453728349999998,58.0332194781337,6.2072034995921384e-6,2.386582055980053e-6
Rangiroa_3,20,2492,Pocillopora verrucosa,2800266.878,11.32798975,3.443736899,58.0332194781337,4.045325050621836e-6,1.2297888197926255e-6
Rangiroa_3,20,2483,Pocillopora verrucosa,3377088.115,14.59544736,5.122305851,58.0332194781337,4.321903030948897e-6,1.516781818113739e-6
Rangiroa_3,40,2588,Pocillopora verrucosa,1576711.273,9.146007522,3.316470554,22.646012618777,5.800686326417861e-6,2.103410187262611e-6
Rangiroa_3,40,2586,Pocillopora verrucosa,1929489.086,9.904319153,3.854162839,22.646012618777,5.133130435856739e-6,1.9975043481536438e-6
Rangiroa_3,40,2589,Pocillopora verrucosa,2732542.05,13.85679694,4.655598456,22.646012618777,5.071027887750163e-6,1.7037609562129154e-6
Rangiroa_3,40,2590,Pocillopora verrucosa,2179023.892,8.74797606,1.650286689,22.646012618777,4.014630629850845e-6,7.573513512443856e-7
Rangiroa_3,40,2591,Pocillopora verrucosa,4709851.533,16.29571408,5.18649211,22.646012618777,3.45992096902049e-6,1.1012007647503058e-6
Rangiroa_3,40,2592,Pocillopora verrucosa,4482979.435,21.10097056,6.725408231,22.646012618777,4.706907730885008e-6,1.5002094764237974e-6
Rangiroa_3,40,2587,Pocillopora verrucosa,4420517.47,20.78734295,7.224219586,22.646012618777,4.7024682270964986e-6,1.6342474913915454e-6
Rangiroa_3,40,2585,Pocillopora verrucosa,3458649.807,23.29874393,7.966287756,22.646012618777,6.736369748346714e-6,2.3032941178019646e-6
Rangiroa_3,40,2583,Pocillopora verrucosa,2586542.488,9.199658771,3.172497977,22.646012618777,3.5567398616805552e-6,1.2265400594494314e-6
Rangiroa_3,40,2584,Pocillopora verrucosa,1932312.385,12.0506376,3.536843969,22.646012618777,6.23638170181267e-6,1.8303686280000735e-6
Rangiroa_3,6,2599,Pocillopora verrucosa,1704662.77,7.957659497,3.066937319,100,4.668172284304654e-6,1.799146067465297e-6
Rangiroa_3,6,2594,Pocillopora verrucosa,2198598.695,6.456653513,2.631295804,100,2.9367130653190896e-6,1.196805860925884e-6
Rangiroa_3,6,2597,Pocillopora verrucosa,3387354.818,11.99863116,5.199403528,100,3.542183150179811e-6,1.5349450551713653e-6
Rangiroa_3,6,2598,Pocillopora verrucosa,3316602.031,11.02166793,3.678844235,100,3.3231807214074517e-6,1.1092208834868196e-6
Rangiroa_3,6,2602,Pocillopora verrucosa,3525855.722,12.28280136,3.468233166,100,3.483636974525074e-6,9.836571429623575e-7
Rangiroa_3,6,2603,Pocillopora verrucosa,2494198.375,4.073578553,3.309457731,100,1.6332215568058014e-6,1.3268622753392661e-6
Rangiroa_3,6,2595,Pocillopora verrucosa,3404819.154,12.11900283,4.45585257,100,3.559367555766517e-6,1.3086899387197232e-6
Rangiroa_3,6,2596,Pocillopora verrucosa,2701882.223,10.29338048,3.625354814,100,3.809707318985532e-6,1.3417886180007632e-6
Rangiroa_3,6,2600,Pocillopora verrucosa,2845135.28,8.721242744,3.415873492,100,3.065317422797555e-6,1.2006014322102813e-6
Rangiroa_3,6,2601,Pocillopora verrucosa,5331522.486,18.90361449,8.342897336,100,3.545631578904308e-6,1.5648245614470433e-6
Tikehau_2,20,1614,Pocillopora verrucosa,4157484.477,26.96643719,9.60172703,55.5655039501645,6.4862388156067675e-6,2.3095040001035703e-6
Tikehau_2,20,1617,Pocillopora verrucosa,1537662.53,13.67534667,4.534335601,55.5655039501645,8.893594272600243e-6,2.94884964193021e-6
Tikehau_2,20,1824,Pocillopora verrucosa,4160565.104,31.70771158,11.97832984,55.5655039501645,7.621010797190978e-6,2.8790151194807507e-6
Tikehau_2,20,1612,Pocillopora verrucosa,1953499.925,9.79190512,3.357336834,55.5655039501645,5.012493215222416e-6,1.7186265487059078e-6
Tikehau_2,20,1616,Pocillopora verrucosa,1767353.021,17.85215937,6.065584483,55.5655039501645,1.0101071578726772e-5,3.4320163605842507e-6
Tikehau_2,20,1619,Pocillopora verrucosa,1790967.791,8.215180113,3.359247733,55.5655039501645,4.587006061350213e-6,1.8756606064502922e-6
Tikehau_2,20,1822,Pocillopora verrucosa,7141828.763,42.26911876,16.70043722,55.5655039501645,5.918528735803014e-6,2.3383978773785117e-6
Tikehau_2,20,1615,Pocillopora verrucosa,2918023.793,21.67638533,8.262180888,55.5655039501645,7.42844708189122e-6,2.8314302672308604e-6
Tikehau_2,20,1618,Pocillopora verrucosa,987026.2007,7.987881498,2.779340045,55.5655039501645,8.092876858116822e-6,2.81587261111092e-6
Tikehau_2,40,1859,Pocillopora verrucosa,1889192.244,22.57347019,9.003189607,23.5045034478894,1.194874172371417e-5,4.7656291389051455e-6
Tikehau_2,40,1860,Pocillopora verrucosa,2800899.061,18.56957253,7.096036173,23.5045034478894,6.6298613857830835e-6,2.5334851483246646e-6
Tikehau_2,40,1863,Pocillopora verrucosa,4199386.126,29.57417376,11.52929644,23.5045034478894,7.042499277905172e-6,2.7454718604268684e-6
Tikehau_2,40,1856,Pocillopora verrucosa,2274469.225,21.53047398,8.349064639,23.5045034478894,9.466153132935882e-6,3.670774942668217e-6
Tikehau_2,40,1861,Pocillopora verrucosa,3404410.622,14.26644308,5.408419736,23.5045034478894,4.190576479760496e-6,1.5886508228618728e-6
Tikehau_2,40,1855,Pocillopora verrucosa,4279838.568,24.72263015,9.809327745,23.5045034478894,5.7765333334881055e-6,2.291985454391559e-6
Tikehau_2,40,1862,Pocillopora verrucosa,2954264.535,38.17323807,14.73431889,23.5045034478894,1.2921401458045122e-5,4.987474451065027e-6
Tikehau_2,40,1853,Pocillopora verrucosa,2880233.934,14.40944416,4.121585067,23.5045034478894,5.0028728534520484e-6,1.4309896909227929e-6
Tikehau_2,40,1854,Pocillopora verrucosa,2415013.172,14.66304777,4.317341853,23.5045034478894,6.0716222751931236e-6,1.787709443184768e-6
Tikehau_2,40,1858,Pocillopora verrucosa,3693650.444,16.33668379,4.881355318,23.5045034478894,4.422910082500487e-6,1.3215531334128594e-6
Tikehau_2,6,1772,Pocillopora verrucosa,1565493.358,8.682584528,3.356059393,100,5.546228914757235e-6,2.1437710839524364e-6
Tikehau_2,6,1775,Pocillopora verrucosa,1706953.17,12.61753291,4.584677521,100,7.391844797944867e-6,2.6858835974978738e-6
Tikehau_2,6,1823,Pocillopora verrucosa,4022251.541,16.87215312,6.598379298,100,4.194703625075943e-6,1.6404690832337976e-6
Tikehau_2,6,1825,Pocillopora verrucosa,5275239.264,29.4499174,10.90730516,100,5.5826695105520805e-6,2.0676417910435083e-6
Tikehau_2,6,1771,Pocillopora verrucosa,1665007.966,7.874478581,3.05922509,100,4.729393937926661e-6,1.837363635772539e-6
Tikehau_2,6,1773,Pocillopora verrucosa,2051849.716,9.887969005,4.139212216,100,4.81905128231136e-6,2.017307692528881e-6
Tikehau_2,6,1774,Pocillopora verrucosa,2579651.731,15.67361214,6.059742623,100,6.075863633702265e-6,2.349054544913683e-6
Tikehau_2,6,1769,Pocillopora verrucosa,3104014.105,25.78914682,10.41741211,100,8.308321401780486e-6,3.3561097848168445e-6
Tikehau_2,6,1778,Pocillopora verrucosa,2599613.663,9.646015952,3.804747456,100,3.7105574914036757e-6,1.4635818814743627e-6
Tikehau_2,60,1718,Pocillopora verrucosa,3536150.031,21.32250767,9.359743224,10.2257986409944,6.029865102745693e-6,2.646873900130625e-6
