"ID_LAB";"Island_Site";"Depth";"C3.C115d.C1.C3fx.C3fv.C1de.C3fy";"C1.C1b.C3.C1u.C1bo.C1bn";"C21.C21u.C3.C21w.C21v";"C1.C1b.C1c.C42.2.C1br.C1bh.C1cb.C72k";"C3.C1.C3fx.C1de.C3fv.C6b";"C3.C115d.C3fv.C3fw";"C115m.C3.C115d";"C1.C3";"C116.C116af.C116ag.C116q";"C21";"C1.C1b.C3.C1u.C1bo";"C116";"C15h";"C15ag";"D1.D4.D4c.D6.D1c";"D1.D4.D4c.D1c.D2";"D1.D4.D17d.D4c.D17c.D1r.D17e.D2.D17j.D17l";"D1.D4.D1c.D17d.D1r.D17e.D17c";"D1.D4.D17d.D17e.D1r.D17c";"G3a.G3ac.G3ai";"G3a.G3ai.G3ae"
93;"Moorea_2";90;0;0;108578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;"Moorea_2";90;0;0;183894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;"Moorea_2";60;119462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11123
117;"Moorea_2";40;201690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;"Moorea_2";60;0;0;136646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;"Moorea_2";40;0;0;296976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;"Moorea_2";60;96874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;"Moorea_2";60;208572;0;0;0;0;0;0;0;0;0;0;0;15239;13566;0;0;0;0;0;0;0
145;"Moorea_2";60;201248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152;"Moorea_2";60;0;0;0;0;0;175167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
182;"Moorea_2";40;210251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;"Moorea_2";40;70524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10118;0
215;"Moorea_2";40;0;0;0;0;0;0;35012;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216;"Moorea_2";40;0;0;0;0;0;0;43453;0;0;0;0;0;0;0;0;0;0;0;0;0;0
217;"Moorea_2";40;25466;0;0;0;0;0;0;0;0;0;0;6552;0;0;0;0;0;0;0;0;0
219;"Moorea_2";40;0;0;122503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
852;"Bora_2";40;140114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
853;"Bora_2";40;0;0;133742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
854;"Bora_2";40;174420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
855;"Bora_2";40;0;0;188310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
856;"Bora_2";40;159291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
857;"Bora_2";40;0;0;0;0;0;0;0;33460;0;0;0;0;0;0;0;0;0;0;0;0;0
909;"Bora_2";90;84090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
910;"Bora_2";90;92303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
911;"Bora_2";90;88868;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
912;"Bora_2";90;54475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
913;"Bora_2";90;71798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
914;"Bora_2";90;66066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
917;"Bora_2";90;64301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1027;"Bora_2";60;33638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1028;"Bora_2";60;37534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1029;"Bora_2";60;67570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1030;"Bora_2";60;84400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1031;"Bora_2";60;65377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1032;"Bora_2";60;0;0;0;0;36060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1033;"Bora_2";60;0;0;0;0;39942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1737;"Tikehau_2";40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154591;0;0;0;0;0;0
1738;"Tikehau_2";40;0;509;0;0;0;0;0;0;0;35;0;0;0;0;92167;0;0;0;0;0;0
1739;"Tikehau_2";40;0;127385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6498;0;0;0
1740;"Tikehau_2";40;0;279339;0;0;0;0;0;0;0;0;0;0;0;0;3496;0;0;0;0;0;0
1741;"Tikehau_2";40;0;130466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1624;0;0
1742;"Tikehau_2";40;0;104757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1743;"Tikehau_2";40;0;128011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1827;"Tikehau_2";20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14696;0;0;0;0;0;0
1828;"Tikehau_2";20;0;0;0;2751;0;0;0;0;0;0;0;0;0;0;43890;0;0;0;0;0;0
1830;"Tikehau_2";20;0;397;0;0;0;0;0;0;0;0;0;0;0;0;0;56853;0;0;0;0;0
1831;"Tikehau_2";20;0;0;0;0;0;0;0;0;0;33;401;0;0;0;129703;0;0;0;0;0;0
1832;"Tikehau_2";20;0;0;0;0;0;0;0;0;0;0;570;0;0;0;0;177077;0;0;0;0;0
1833;"Tikehau_2";20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15941;0;0;0;0;0;0
1834;"Tikehau_2";20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30926;0;0;0;0;0;0
1836;"Tikehau_2";90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129218;0;0;0;0;0;0
1837;"Tikehau_2";90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107594;0;0;0;0;0;0
1838;"Tikehau_2";90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70813;0;0;0;0;0
1839;"Tikehau_2";90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46259;0;0;0;0;0;0
1840;"Tikehau_2";90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130550;0;0;0;0;0;0
1841;"Tikehau_2";90;0;0;0;0;0;0;0;0;29361;0;0;0;0;0;9313;0;0;0;0;0;0
1845;"Tikehau_2";60;0;234492;0;0;0;0;0;0;0;0;0;0;0;0;69644;0;0;0;0;0;0
1846;"Tikehau_2";60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27143;0;0;0;0;0;0
1847;"Tikehau_2";60;0;113190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6493;0;0;0
1848;"Tikehau_2";60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25042;0;0;0;0;0;0
1849;"Tikehau_2";60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138212;0;0;0;0;0;0
2463;"Rangiroa_3";60;0;100300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2464;"Rangiroa_3";60;0;185102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;"Rangiroa_3";60;0;84662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2466;"Rangiroa_3";60;0;287029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2467;"Rangiroa_3";60;0;151503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2468;"Rangiroa_3";60;0;93746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2469;"Rangiroa_3";60;0;57717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2470;"Rangiroa_3";60;0;47883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2473;"Rangiroa_3";40;0;166632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2474;"Rangiroa_3";40;0;199269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2475;"Rangiroa_3";40;0;118239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2476;"Rangiroa_3";40;0;129988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2477;"Rangiroa_3";40;0;104144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2478;"Rangiroa_3";40;0;97274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2479;"Rangiroa_3";40;0;67732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2480;"Rangiroa_3";40;0;154391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2564;"Rangiroa_3";90;0;0;0;212421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2565;"Rangiroa_3";90;0;873;0;0;0;0;0;0;0;0;0;0;0;0;0;186272;0;0;0;0;0
2566;"Rangiroa_3";90;0;0;0;451041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2567;"Rangiroa_3";90;0;248708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2568;"Rangiroa_3";90;0;0;0;39588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2569;"Rangiroa_3";90;0;294367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3780;0;0;0;0
